Wall time,Step,Value
1624977606.755311,0,0.5785695910453796
1624977631.708847,1,0.5350799560546875
1624977656.322916,2,0.5192167162895203
1624977680.776953,3,0.5114033222198486
1624977705.277434,4,0.5064017176628113
1624977730.093722,5,0.5029306411743164
1624977754.484003,6,0.5005110502243042
1624977778.982692,7,0.49897679686546326
1624977802.73897,8,0.4973149597644806
1624977827.13072,9,0.4959873557090759
1624977852.056444,10,0.49456480145454407
1624977877.080867,11,0.49316465854644775
1624977900.870406,12,0.49221131205558777
1624977924.69405,13,0.4908018410205841
1624977949.271417,14,0.48965784907341003
1624977973.906934,15,0.48844191431999207
1624977997.585139,16,0.48709091544151306
1624978021.966709,17,0.4859500229358673
1624978046.360291,18,0.4847084879875183
1624978071.386669,19,0.48349297046661377
1624978095.666872,20,0.48240453004837036
1624978120.764763,21,0.48135536909103394
1624978144.941926,22,0.4803831875324249
1624978169.364814,23,0.4795062243938446
1624978194.11876,24,0.4784300923347473
1624978218.283392,25,0.47767841815948486
1624978243.434731,26,0.4766729474067688
1624978267.41077,27,0.4758554697036743
1624978292.105831,28,0.47511619329452515
1624978316.433999,29,0.4743955135345459
1624978341.468445,30,0.473663866519928
1624978365.908658,31,0.47273609042167664
1624978390.213317,32,0.4719816744327545
1624978414.437582,33,0.4712369740009308
1624978438.967296,34,0.47047901153564453
1624978462.914083,35,0.46964406967163086
1624978488.240041,36,0.46883341670036316
1624978513.043401,37,0.46811240911483765
1624978537.491183,38,0.4673355519771576
1624978562.079938,39,0.466500848531723
1624978587.055469,40,0.4657132923603058
1624978611.656011,41,0.46495887637138367
1624978636.680354,42,0.46416008472442627
1624978661.140623,43,0.46348196268081665
1624978685.765621,44,0.4627033770084381
1624978710.541219,45,0.4619947075843811
1624978735.769444,46,0.4610743820667267
1624978761.033818,47,0.4603785276412964
1624978785.393794,48,0.4596501886844635
1624978810.096355,49,0.45887595415115356
1624978834.21815,50,0.4583095908164978
1624978858.896881,51,0.45757490396499634
1624978883.61788,52,0.45694929361343384
1624978908.086966,53,0.45631739497184753
1624978932.547726,54,0.45559200644493103
1624978957.119077,55,0.4550091028213501
1624978981.187415,56,0.4542396068572998
1624979006.006675,57,0.45367398858070374
1624979031.175893,58,0.4530608355998993
1624979055.715196,59,0.45246267318725586
1624979080.210199,60,0.4518614113330841
1624979105.580407,61,0.45129114389419556
1624979130.448082,62,0.45066750049591064
1624979155.538357,63,0.4502476751804352
1624979179.934842,64,0.44955897331237793
1624979205.202999,65,0.44916364550590515
1624979230.590635,66,0.44859230518341064
1624979255.413941,67,0.4481416642665863
1624979280.236039,68,0.44762948155403137
1624979305.324235,69,0.44706442952156067
1624979330.19075,70,0.4464934468269348
1624979355.310516,71,0.44597503542900085
1624979379.944368,72,0.44542691111564636
1624979404.790353,73,0.4450080990791321
1624979429.3575,74,0.4444533586502075
1624979454.940881,75,0.4438352584838867
1624979480.383,76,0.44355764985084534
1624979504.482049,77,0.4428785443305969
1624979529.792879,78,0.44257408380508423
1624979554.521902,79,0.4420149624347687
1624979579.349426,80,0.4415999948978424
1624979603.710084,81,0.4409504532814026
1624979628.179565,82,0.4405566155910492
1624979653.220306,83,0.4399228096008301
1624979678.174252,84,0.43976646661758423
1624979703.202712,85,0.4392106831073761
1624979727.11681,86,0.43876224756240845
1624979752.278685,87,0.4381546676158905
1624979777.27533,88,0.43776199221611023
1624979801.798566,89,0.43745070695877075
1624979827.457122,90,0.43695205450057983
1624979851.470691,91,0.4364176392555237
1624979875.71562,92,0.4362031817436218
1624979899.804506,93,0.4354472756385803
1624979924.264112,94,0.4353150725364685
1624979949.297309,95,0.4348834753036499
1624979973.949385,96,0.4343681037425995
1624979997.812151,97,0.4340590834617615
1624980022.584588,98,0.43340039253234863
1624980047.805111,99,0.4331188499927521
1624980072.842214,100,0.4328051209449768
1624980097.50746,101,0.4322364032268524
1624980122.286297,102,0.43193238973617554
1624980147.305002,103,0.4315321743488312
1624980171.587195,104,0.4310634732246399
1624980196.67398,105,0.4308837950229645
1624980222.327426,106,0.43055418133735657
1624980247.523455,107,0.4298219680786133
1624980272.546506,108,0.4296770393848419
1624980297.50129,109,0.42917171120643616
1624980323.001241,110,0.4288426637649536
1624980347.613983,111,0.428356409072876
1624980372.748638,112,0.4281144142150879
1624980397.368302,113,0.42780742049217224
1624980422.232854,114,0.4273347854614258
1624980446.990218,115,0.42706185579299927
1624980471.846536,116,0.4265696406364441
1624980496.663767,117,0.42635032534599304
1624980522.207079,118,0.4258471727371216
1624980547.055435,119,0.4255920946598053
1624980571.911288,120,0.42548003792762756
1624980596.939909,121,0.4250209927558899
1624980623.011122,122,0.42465901374816895
1624980647.931186,123,0.42426398396492004
1624980673.428881,124,0.42394378781318665
1624980698.66562,125,0.4235060214996338
1624980723.309507,126,0.42324334383010864
1624980747.83001,127,0.42303764820098877
1624980773.257497,128,0.4226713180541992
1624980798.936941,129,0.4224074184894562
1624980823.95867,130,0.42199623584747314
1624980848.65112,131,0.4219798445701599
1624980873.676012,132,0.4215155839920044
1624980898.974971,133,0.4211234450340271
